Route ID,Source,Destination,Carrier,Distance (km),Cost per km ($),Total Cost ($),Delivery Time (hrs),Delivery Status
R1375,Chicago,San Francisco,Carrier A,2132,3.07,6545.24,25.29,Delivered
R1376,Denver,Chicago,Carrier A,1070,2.6,2782.0,10.8,In Transit
R1377,Boston,Houston,Carrier B,905,1.62,1466.1,13.74,Delivered
R1378,Detroit,Denver,Carrier A,2187,2.2,4811.4,26.6,In Transit
R1379,Dallas,Boston,Carrier B,1227,1.84,2257.68,12.81,Delivered
R1380,Seattle,New York,Carrier A,2037,2.19,4461.03,31.12,Delivered
R1381,Las Vegas,Dallas,Carrier C,2820,2.48,6993.6,28.25,In Transit
R1382,Houston,New York,Carrier C,4773,1.61,7684.53,76.22,Delivered
R1383,Philadelphia,Philadelphia,Carrier A,2792,3.41,9520.72,37.98,Delivered
R1384,Chicago,San Francisco,Carrier A,3460,3.36,11625.6,53.74,Pending
R1385,Las Vegas,Seattle,Carrier A,512,1.66,849.92,5.39,Pending
R1386,New York,Phoenix,Carrier A,4462,2.99,13341.38,51.54,Delivered
R1387,Las Vegas,Los Angeles,Carrier C,3743,1.97,7373.71,48.42,Pending
R1388,Denver,Chicago,Carrier C,1288,3.14,4044.32,19.29,Pending
R1389,Denver,Detroit,Carrier C,4967,1.7,8443.9,54.26,In Transit
R1390,Dallas,Dallas,Carrier B,995,2.3,2288.5,12.91,In Transit
R1391,New York,Dallas,Carrier A,2415,2.21,5337.15,32.84,Delivered
R1392,Las Vegas,Philadelphia,Carrier C,3096,3.25,10062.0,34.41,In Transit
R1393,Los Angeles,Chicago,Carrier B,1540,2.93,4512.2,20.4,Delivered
R1394,San Francisco,Chicago,Carrier B,4559,3.1,14132.9,46.86,Pending
R1395,Phoenix,Detroit,Carrier A,4007,3.21,12862.47,62.71,Pending
R1396,Houston,Detroit,Carrier C,776,2.99,2320.24,9.43,In Transit
R1397,Phoenix,Los Angeles,Carrier B,4433,2.68,11880.44,57.41,Delivered
R1398,Los Angeles,Boston,Carrier B,3428,2.98,10215.44,54.19,Delivered
R1399,New York,New York,Carrier B,1852,2.58,4778.16,18.87,In Transit
R1400,Los Angeles,Las Vegas,Carrier C,4773,3.04,14509.92,66.5,In Transit
R1401,Atlanta,Miami,Carrier C,3984,3.34,13306.56,47.63,Pending
R1402,Los Angeles,Denver,Carrier C,1070,2.31,2471.7,17.62,Pending
R1403,New York,Los Angeles,Carrier C,3846,1.85,7115.1,58.93,In Transit
R1404,Seattle,Atlanta,Carrier C,4417,1.91,8436.47,58.35,In Transit
R1405,Philadelphia,New York,Carrier A,3693,3.44,12703.92,46.29,Delivered
R1406,Los Angeles,Los Angeles,Carrier A,4529,3.24,14673.96,47.23,Pending
R1407,Chicago,Dallas,Carrier B,2224,3.24,7205.76,23.31,Pending
R1408,Miami,Chicago,Carrier C,4778,3.33,15910.74,56.18,Delivered
R1409,Boston,Detroit,Carrier C,2700,1.57,4239.0,28.95,In Transit
R1410,Atlanta,Denver,Carrier C,338,1.71,577.98,4.41,Pending
R1411,San Francisco,Los Angeles,Carrier A,701,2.33,1633.33,8.15,In Transit
R1412,Detroit,Seattle,Carrier C,3092,2.83,8750.36,36.56,Pending
R1413,New York,Denver,Carrier B,4405,3.38,14888.9,59.83,Delivered
R1414,Miami,Boston,Carrier C,512,2.66,1361.92,5.52,Pending
R1415,Boston,Phoenix,Carrier B,2736,2.6,7113.6,30.06,Pending
R1416,Detroit,Las Vegas,Carrier C,4697,1.83,8595.51,48.91,Pending
R1417,Atlanta,Las Vegas,Carrier B,3012,1.65,4969.8,48.81,Delivered
R1418,Dallas,Dallas,Carrier C,1217,1.55,1886.35,13.08,Delivered
R1419,Houston,New York,Carrier B,1555,2.45,3809.75,16.39,Pending
R1420,Las Vegas,Atlanta,Carrier A,1525,1.65,2516.25,17.0,Delivered
R1421,Los Angeles,Phoenix,Carrier A,2202,1.77,3897.54,22.3,Delivered
R1422,San Francisco,San Francisco,Carrier C,4214,1.76,7416.64,65.4,In Transit
R1423,Las Vegas,Boston,Carrier C,3328,2.36,7854.08,50.13,In Transit
R1424,Philadelphia,Chicago,Carrier A,2525,1.86,4696.5,37.01,Delivered
R1425,Denver,Philadelphia,Carrier A,886,3.14,2782.04,9.61,Delivered
R1426,New York,Phoenix,Carrier C,2032,2.23,4531.36,21.19,Pending
R1427,Denver,Atlanta,Carrier A,722,2.41,1740.02,9.29,Pending
R1428,Atlanta,Chicago,Carrier A,800,2.22,1776.0,8.08,In Transit
R1429,Chicago,Miami,Carrier A,1385,3.13,4335.05,14.92,Pending
R1430,Detroit,Philadelphia,Carrier A,2278,3.48,7927.44,36.06,Delivered
R1431,Philadelphia,Las Vegas,Carrier C,2653,1.97,5226.41,39.02,In Transit
R1432,San Francisco,New York,Carrier A,331,1.96,648.76,4.55,Delivered
R1433,New York,Dallas,Carrier B,2008,1.56,3132.48,30.81,Pending
R1434,Seattle,New York,Carrier C,1995,2.9,5785.5,22.1,Delivered
R1435,Seattle,Las Vegas,Carrier B,3927,2.64,10367.28,42.14,Pending
R1436,New York,Houston,Carrier B,2838,1.91,5420.58,42.57,Delivered
R1437,Seattle,Las Vegas,Carrier B,3018,3.41,10291.38,42.16,Pending
R1438,Denver,Phoenix,Carrier C,327,1.56,510.12,3.66,Delivered
R1439,Boston,San Francisco,Carrier B,2895,2.03,5876.85,33.76,In Transit
R1440,Los Angeles,Chicago,Carrier A,2309,1.93,4456.37,27.7,Pending
R1441,Los Angeles,San Francisco,Carrier B,3366,2.72,9155.52,42.39,In Transit
R1442,Miami,Las Vegas,Carrier C,339,3.19,1081.41,3.54,In Transit
R1443,Miami,Los Angeles,Carrier B,1972,1.66,3273.52,31.4,Pending
R1444,Denver,Philadelphia,Carrier A,4748,1.79,8498.92,66.78,Pending
R1445,Los Angeles,Philadelphia,Carrier B,3931,2.29,9001.99,59.13,Pending
R1446,Detroit,Dallas,Carrier C,1465,2.95,4321.75,18.57,Delivered
R1447,Las Vegas,New York,Carrier C,3549,2.28,8091.72,58.64,Delivered
R1448,Las Vegas,Las Vegas,Carrier A,1140,2.51,2861.4,17.05,Pending
R1449,Boston,Las Vegas,Carrier B,3685,2.19,8070.15,37.8,Delivered
R1450,Denver,Chicago,Carrier B,2807,3.22,9038.54,39.89,Delivered
R1451,San Francisco,Chicago,Carrier B,1458,3.29,4796.82,20.75,Pending
R1452,Las Vegas,Atlanta,Carrier B,4865,3.44,16735.6,67.04,Pending
R1453,Atlanta,Detroit,Carrier B,1184,2.62,3102.08,13.27,Delivered
R1454,Houston,Denver,Carrier C,2828,3.29,9304.12,35.28,In Transit
R1455,Philadelphia,Atlanta,Carrier A,4996,2.24,11191.04,55.55,Pending
R1456,Detroit,Philadelphia,Carrier C,1650,2.44,4026.0,25.96,Delivered
R1457,Seattle,Los Angeles,Carrier B,2926,2.4,7022.4,33.46,In Transit
R1458,Phoenix,Boston,Carrier A,2271,3.11,7062.81,24.62,Delivered
R1459,Philadelphia,Denver,Carrier A,393,3.05,1198.65,5.78,Pending
R1460,Chicago,Denver,Carrier B,1162,3.15,3660.3,16.99,Pending
R1461,Denver,Los Angeles,Carrier A,4969,2.52,12521.88,57.97,Delivered
R1462,Dallas,Boston,Carrier A,4793,3.38,16200.34,59.13,Delivered
R1463,Phoenix,Phoenix,Carrier B,3635,2.23,8106.05,40.67,In Transit
R1464,Los Angeles,Boston,Carrier B,1319,2.09,2756.71,16.2,Pending
R1465,Chicago,Phoenix,Carrier A,2386,2.61,6227.46,36.72,In Transit
R1466,Las Vegas,Phoenix,Carrier C,714,1.64,1170.96,9.98,In Transit
R1467,San Francisco,Phoenix,Carrier C,4616,2.07,9555.12,46.29,Delivered
R1468,Los Angeles,Seattle,Carrier A,2303,2.43,5596.29,32.01,Delivered
R1469,Chicago,Phoenix,Carrier B,3706,3.33,12340.98,38.39,Pending
R1470,Chicago,San Francisco,Carrier A,1780,1.92,3417.6,19.96,Pending
R1471,Philadelphia,Denver,Carrier B,2632,2.17,5711.44,35.66,Delivered
R1472,New York,Chicago,Carrier B,4483,2.39,10714.37,53.21,In Transit
R1473,Los Angeles,Atlanta,Carrier C,2084,2.36,4918.24,23.22,Pending
R1474,New York,Detroit,Carrier C,629,2.66,1673.14,7.16,Pending
R1475,Detroit,San Francisco,Carrier B,2943,1.91,5621.13,36.1,Delivered
R1476,Seattle,Houston,Carrier B,1599,2.57,4109.43,16.12,Delivered
R1477,Houston,Dallas,Carrier A,725,2.16,1566.0,8.54,In Transit
R1478,Detroit,Boston,Carrier B,3595,3.08,11072.6,54.98,Delivered
R1479,Atlanta,Houston,Carrier A,3874,3.0,11622.0,59.05,Delivered
R1480,Chicago,Las Vegas,Carrier A,4804,3.27,15709.08,66.44,Pending
R1481,Dallas,Las Vegas,Carrier A,603,2.53,1525.59,6.24,Delivered
R1482,Miami,Los Angeles,Carrier B,2325,3.23,7509.75,36.13,Delivered
R1483,New York,San Francisco,Carrier C,1755,1.51,2650.05,24.66,Pending
R1484,Philadelphia,Dallas,Carrier A,2595,2.25,5838.75,36.55,Pending
R1485,Phoenix,Atlanta,Carrier C,3516,1.8,6328.8,41.97,In Transit
R1486,Denver,Chicago,Carrier C,2870,3.46,9930.2,29.1,In Transit
R1487,Atlanta,Philadelphia,Carrier B,1227,1.52,1865.04,15.73,Pending
R1488,Boston,New York,Carrier C,677,3.35,2267.95,9.12,In Transit
R1489,New York,Phoenix,Carrier C,4357,1.88,8191.16,44.51,In Transit
R1490,San Francisco,Los Angeles,Carrier A,4092,1.99,8143.08,57.82,Pending
R1491,Houston,San Francisco,Carrier A,528,1.57,828.96,6.17,In Transit
R1492,Chicago,Dallas,Carrier C,2091,2.56,5352.96,29.7,Delivered
R1493,Boston,Seattle,Carrier A,3640,1.58,5751.2,57.5,Delivered
R1494,Dallas,New York,Carrier A,2191,2.03,4447.73,24.43,Pending
R1495,Los Angeles,New York,Carrier A,3478,2.2,7651.6,38.64,Delivered
R1496,Phoenix,Denver,Carrier C,3643,3.11,11329.73,57.21,Delivered
R1497,Dallas,Seattle,Carrier B,564,2.46,1387.44,6.38,Delivered
R1498,Detroit,Dallas,Carrier C,1463,1.63,2384.69,18.45,Delivered
R1499,Las Vegas,Las Vegas,Carrier B,3114,2.81,8750.34,44.26,In Transit
R1500,San Francisco,Chicago,Carrier B,1384,3.34,4622.56,18.42,Pending
R1501,Los Angeles,Seattle,Carrier A,350,2.41,843.5,3.7,Delivered
R1502,Denver,Philadelphia,Carrier B,786,3.02,2373.72,12.51,Delivered
R1503,Miami,Miami,Carrier B,4493,2.67,11996.31,49.45,In Transit
R1504,Atlanta,Dallas,Carrier A,2707,1.91,5170.37,39.48,In Transit
R1505,Seattle,Las Vegas,Carrier B,4521,2.72,12297.12,50.81,In Transit
R1506,Boston,Detroit,Carrier A,4700,2.09,9823.0,52.17,Delivered
R1507,Seattle,Boston,Carrier B,3392,1.76,5969.92,43.72,Pending
R1508,Houston,Houston,Carrier B,612,1.78,1089.36,8.07,In Transit
R1509,Boston,Atlanta,Carrier B,3924,2.1,8240.4,62.97,In Transit
R1510,Phoenix,Las Vegas,Carrier B,4194,2.7,11323.8,44.98,Pending
R1511,Los Angeles,Atlanta,Carrier A,1780,2.51,4467.8,24.69,In Transit
R1512,Chicago,Phoenix,Carrier A,2146,2.04,4377.84,31.18,Pending
R1513,San Francisco,Chicago,Carrier A,2624,2.35,6166.4,26.74,In Transit
R1514,Phoenix,Los Angeles,Carrier C,4807,2.31,11104.17,48.71,Delivered
R1515,New York,Philadelphia,Carrier B,1524,2.58,3931.92,23.68,Delivered
R1516,Phoenix,Philadelphia,Carrier B,3761,1.89,7108.29,44.5,Pending
R1517,Las Vegas,Atlanta,Carrier C,4827,2.01,9702.27,60.67,Delivered
R1518,New York,Seattle,Carrier B,2734,2.57,7026.38,44.94,In Transit
R1519,Boston,New York,Carrier A,2660,1.52,4043.2,33.71,Delivered
R1520,Las Vegas,Houston,Carrier A,351,1.56,547.56,5.69,Pending
R1521,San Francisco,Philadelphia,Carrier B,1791,3.41,6107.31,22.94,Delivered
R1522,Chicago,Boston,Carrier B,303,2.45,742.35,3.06,In Transit
R1523,Philadelphia,Las Vegas,Carrier A,4041,3.0,12123.0,46.13,Delivered
R1524,Phoenix,Atlanta,Carrier B,1758,2.82,4957.56,17.67,Pending
R1525,Las Vegas,San Francisco,Carrier B,1732,3.0,5196.0,27.45,In Transit
R1526,New York,Houston,Carrier B,4989,3.41,17012.49,72.35,Pending
R1527,New York,New York,Carrier A,499,2.11,1052.89,7.3,Delivered
R1528,Chicago,Las Vegas,Carrier C,4795,2.37,11364.15,77.33,Pending
R1529,Seattle,Philadelphia,Carrier A,4390,2.8,12292.0,63.08,Pending
R1530,Boston,Houston,Carrier B,3380,2.39,8078.2,35.82,Pending
R1531,Los Angeles,Seattle,Carrier B,3467,1.7,5893.9,51.32,In Transit
R1532,Atlanta,San Francisco,Carrier B,3054,2.43,7421.22,46.11,Delivered
R1533,Atlanta,San Francisco,Carrier B,3978,2.04,8115.12,52.68,Delivered
R1534,Seattle,Atlanta,Carrier A,2475,1.87,4628.25,36.89,Delivered
R1535,Dallas,Phoenix,Carrier A,4948,2.31,11429.88,52.81,In Transit
R1536,Denver,Phoenix,Carrier B,4212,2.41,10150.92,52.17,Pending
R1537,Houston,Los Angeles,Carrier C,3178,3.29,10455.62,42.77,Pending
R1538,New York,Detroit,Carrier B,1802,3.17,5712.34,18.46,In Transit
R1539,Houston,Miami,Carrier A,533,1.52,810.16,8.16,In Transit
R1540,New York,Dallas,Carrier C,1415,2.01,2844.15,17.58,Pending
R1541,Miami,Houston,Carrier B,368,3.39,1247.52,4.67,Pending
R1542,Phoenix,Los Angeles,Carrier B,1696,2.36,4002.56,22.32,In Transit
R1543,Atlanta,Philadelphia,Carrier B,402,2.15,864.3,5.35,Pending
R1544,San Francisco,Seattle,Carrier A,813,2.53,2056.89,10.07,Delivered
R1545,Seattle,Philadelphia,Carrier A,4156,2.97,12343.32,51.45,In Transit
R1546,Philadelphia,Seattle,Carrier A,2382,2.47,5883.54,31.64,In Transit
R1547,Philadelphia,Philadelphia,Carrier A,1064,2.76,2936.64,14.16,Delivered
R1548,Houston,Miami,Carrier C,580,2.83,1641.4,7.52,Pending
R1549,Chicago,New York,Carrier A,2396,1.56,3737.76,24.05,In Transit
R1550,Dallas,Atlanta,Carrier C,3544,2.84,10064.96,38.35,In Transit
R1551,Miami,Miami,Carrier A,613,1.74,1066.62,6.18,In Transit
R1552,Los Angeles,Boston,Carrier A,1894,1.88,3560.72,27.02,Delivered
R1553,Las Vegas,Detroit,Carrier A,4181,2.63,10996.03,60.29,Pending
R1554,Dallas,Miami,Carrier A,3501,2.55,8927.55,40.31,Pending
R1555,Philadelphia,Atlanta,Carrier A,4888,1.7,8309.6,59.16,Delivered
R1556,Las Vegas,Las Vegas,Carrier B,3087,3.43,10588.41,36.27,In Transit
R1557,Chicago,New York,Carrier B,3110,3.08,9578.8,34.55,In Transit
R1558,Detroit,Las Vegas,Carrier A,2001,1.72,3441.72,20.79,In Transit
R1559,Miami,Phoenix,Carrier B,4749,1.7,8073.3,58.99,Delivered
R1560,Philadelphia,Miami,Carrier B,4603,2.45,11277.35,63.62,In Transit
R1561,Las Vegas,Los Angeles,Carrier A,1556,2.9,4512.4,20.03,In Transit
R1562,New York,San Francisco,Carrier C,393,3.15,1237.95,4.68,Delivered
R1563,New York,Chicago,Carrier B,3999,1.8,7198.2,49.53,Pending
R1564,Los Angeles,Denver,Carrier C,3901,3.21,12522.21,51.07,In Transit
R1565,Los Angeles,Dallas,Carrier B,2375,1.91,4536.25,38.2,In Transit
R1566,New York,Chicago,Carrier B,3147,3.19,10038.93,46.85,In Transit
R1567,Denver,Houston,Carrier B,953,2.53,2411.09,10.25,Delivered
R1568,Boston,Seattle,Carrier B,1374,2.29,3146.46,20.98,Delivered
R1569,Philadelphia,Las Vegas,Carrier C,3578,2.11,7549.58,59.07,Delivered
R1570,Chicago,Los Angeles,Carrier C,3886,1.78,6917.08,54.64,Pending
R1571,Houston,San Francisco,Carrier A,462,2.97,1372.14,5.91,In Transit
R1572,Chicago,Houston,Carrier B,1221,3.13,3821.73,16.52,In Transit
R1573,Dallas,Phoenix,Carrier A,2984,1.97,5878.48,45.43,Pending
R1574,Dallas,Los Angeles,Carrier C,4523,3.26,14744.98,55.16,In Transit
R1575,Los Angeles,Los Angeles,Carrier A,3202,3.4,10886.8,33.73,In Transit
R1576,San Francisco,Chicago,Carrier C,4754,1.92,9127.68,71.56,Pending
R1577,Seattle,New York,Carrier B,2755,1.84,5069.2,42.87,Pending
R1578,Denver,New York,Carrier B,3459,3.24,11207.16,35.53,Pending
R1579,Las Vegas,Denver,Carrier B,4564,3.29,15015.56,66.85,In Transit
R1580,Chicago,Seattle,Carrier C,1548,3.47,5371.56,19.73,Pending
R1581,Boston,Phoenix,Carrier A,2631,2.66,6998.46,35.49,Delivered
R1582,Philadelphia,Denver,Carrier C,4027,3.41,13732.07,47.75,Delivered
R1583,Las Vegas,San Francisco,Carrier A,2946,1.99,5862.54,48.58,Pending
R1584,Houston,Los Angeles,Carrier B,1219,2.22,2706.18,13.87,Pending
R1585,Boston,Chicago,Carrier C,3036,2.49,7559.64,30.44,Delivered
R1586,Miami,Detroit,Carrier B,4671,2.0,9342.0,47.74,In Transit
R1587,Phoenix,Phoenix,Carrier B,3318,2.61,8659.98,33.59,In Transit
R1588,Miami,Boston,Carrier A,4989,2.06,10277.34,59.26,In Transit
R1589,Philadelphia,Dallas,Carrier A,766,2.77,2121.82,11.48,Delivered
R1590,Seattle,Philadelphia,Carrier A,4131,2.02,8344.62,42.74,In Transit
R1591,New York,New York,Carrier A,944,1.59,1500.96,10.5,In Transit
R1592,Denver,Las Vegas,Carrier B,1275,3.43,4373.25,20.8,Delivered
R1593,San Francisco,Las Vegas,Carrier B,1797,2.71,4869.87,26.4,In Transit
R1594,Detroit,Houston,Carrier B,2449,2.27,5559.23,25.5,Pending
R1595,Chicago,Dallas,Carrier A,1232,1.59,1958.88,18.39,Delivered
R1596,Phoenix,Dallas,Carrier C,3789,1.58,5986.62,60.59,In Transit
R1597,San Francisco,Philadelphia,Carrier C,2836,1.91,5416.76,28.55,Delivered
R1598,Houston,New York,Carrier A,1093,2.07,2262.51,17.89,Pending
R1599,Dallas,Denver,Carrier C,757,2.83,2142.31,8.12,Pending
R1600,Boston,Houston,Carrier B,3887,3.01,11699.87,55.44,In Transit
R1601,Denver,Chicago,Carrier B,1926,2.42,4660.92,28.37,Delivered
R1602,Denver,Las Vegas,Carrier C,3874,3.24,12551.76,40.71,Pending
R1603,Houston,Phoenix,Carrier C,4299,1.67,7179.33,51.0,Delivered
R1604,Boston,Philadelphia,Carrier B,2639,3.4,8972.6,26.83,In Transit
R1605,New York,Seattle,Carrier C,1753,1.6,2804.8,23.33,Pending
R1606,Detroit,Boston,Carrier B,1220,2.94,3586.8,19.72,In Transit
R1607,Houston,New York,Carrier B,4982,2.09,10412.38,63.03,Delivered
R1608,Detroit,Seattle,Carrier A,3689,2.16,7968.24,38.36,Pending
R1609,Las Vegas,Chicago,Carrier C,534,2.33,1244.22,7.39,Pending
R1610,Dallas,Phoenix,Carrier C,1233,3.04,3748.32,13.89,Delivered
R1611,Detroit,Philadelphia,Carrier C,3348,3.44,11517.12,44.9,Pending
R1612,Philadelphia,Denver,Carrier B,641,2.83,1814.03,7.41,Delivered
R1613,Phoenix,Atlanta,Carrier A,3290,2.92,9606.8,54.6,Pending
R1614,Los Angeles,Phoenix,Carrier B,599,2.92,1749.08,6.14,Pending
R1615,Chicago,San Francisco,Carrier C,1784,1.62,2890.08,27.18,Delivered
R1616,Denver,Dallas,Carrier C,4033,3.43,13833.19,58.76,In Transit
R1617,Phoenix,Houston,Carrier A,1553,2.59,4022.27,21.87,In Transit
R1618,Houston,Miami,Carrier A,1180,2.68,3162.4,12.81,Pending
R1619,Atlanta,Denver,Carrier C,4247,3.1,13165.7,46.0,Pending
R1620,Boston,San Francisco,Carrier B,2517,1.59,4002.03,26.11,Pending
R1621,Miami,Seattle,Carrier B,597,3.36,2005.92,6.29,Pending
R1622,Phoenix,New York,Carrier A,2586,1.97,5094.42,28.85,In Transit
R1623,Miami,Los Angeles,Carrier B,2082,2.92,6079.44,21.94,In Transit
R1624,Chicago,Houston,Carrier A,1255,2.63,3300.65,20.42,Delivered
R1625,New York,Chicago,Carrier B,4992,1.89,9434.88,66.4,Pending
R1626,Seattle,New York,Carrier A,4232,3.11,13161.52,62.29,Delivered
R1627,Phoenix,Los Angeles,Carrier B,3517,2.21,7772.57,36.2,In Transit
R1628,Philadelphia,Denver,Carrier A,850,2.57,2184.5,13.73,Delivered
R1629,Dallas,Dallas,Carrier A,2707,1.73,4683.11,36.71,In Transit
R1630,Atlanta,Atlanta,Carrier B,2774,3.11,8627.14,44.96,Delivered
R1631,Los Angeles,San Francisco,Carrier B,3533,2.06,7277.98,47.7,In Transit
R1632,Miami,Boston,Carrier A,2072,3.03,6278.16,25.82,In Transit
R1633,Los Angeles,Dallas,Carrier C,1425,2.41,3434.25,19.19,In Transit
R1634,Philadelphia,Denver,Carrier C,420,2.2,924.0,4.72,Delivered
R1635,San Francisco,New York,Carrier C,3545,2.08,7373.6,41.85,In Transit
R1636,Dallas,Los Angeles,Carrier B,3577,2.85,10194.45,39.98,Pending
R1637,Houston,Philadelphia,Carrier C,1017,3.1,3152.7,11.0,Delivered
R1638,Miami,Seattle,Carrier C,4973,3.39,16858.47,71.3,Pending
R1639,Miami,New York,Carrier B,520,2.31,1201.2,5.39,Delivered
R1640,Boston,Phoenix,Carrier C,484,2.1,1016.4,7.56,Pending
R1641,Atlanta,Philadelphia,Carrier C,4266,2.85,12158.1,56.35,Pending
R1642,San Francisco,Los Angeles,Carrier A,1297,1.83,2373.51,13.62,Delivered
R1643,Boston,San Francisco,Carrier C,4039,1.93,7795.27,52.07,Delivered
R1644,San Francisco,Denver,Carrier B,2118,2.63,5570.34,27.13,In Transit
R1645,New York,Boston,Carrier A,385,3.43,1320.55,4.36,Pending
R1646,Denver,Boston,Carrier B,3195,2.58,8243.1,46.47,Pending
R1647,New York,Miami,Carrier C,4779,1.55,7407.45,61.5,Pending
R1648,Boston,Las Vegas,Carrier B,1739,3.36,5843.04,19.24,Delivered
R1649,Philadelphia,Houston,Carrier B,2879,3.21,9241.59,34.4,Pending
R1650,Houston,San Francisco,Carrier B,1874,1.93,3616.82,21.39,Pending
R1651,Houston,Las Vegas,Carrier B,661,1.89,1249.29,9.31,In Transit
R1652,San Francisco,Las Vegas,Carrier B,3904,2.54,9916.16,50.6,Pending
R1653,Boston,Phoenix,Carrier A,2756,3.24,8929.44,32.46,Delivered
R1654,Phoenix,Miami,Carrier A,4829,1.52,7340.08,58.75,Delivered
R1655,Denver,Miami,Carrier C,4981,2.46,12253.26,75.19,In Transit
R1656,Phoenix,Las Vegas,Carrier B,3128,2.69,8414.32,43.15,Delivered
R1657,Las Vegas,Phoenix,Carrier A,2569,3.44,8837.36,36.6,Pending
R1658,Atlanta,Los Angeles,Carrier C,3974,1.5,5961.0,41.35,In Transit
R1659,Atlanta,Philadelphia,Carrier B,1695,1.68,2847.6,24.74,Delivered
R1660,Miami,Atlanta,Carrier B,2695,1.9,5120.5,29.46,In Transit
R1661,Phoenix,Boston,Carrier B,2540,2.26,5740.4,37.51,Pending
R1662,Chicago,New York,Carrier C,2459,3.29,8090.11,25.98,Pending
R1663,Denver,Philadelphia,Carrier A,395,2.13,841.35,4.52,Pending
R1664,Phoenix,Phoenix,Carrier B,4194,2.39,10023.66,56.12,In Transit
R1665,Boston,Denver,Carrier A,1494,3.17,4735.98,19.7,Pending
R1666,Denver,New York,Carrier C,1956,3.25,6357.0,29.96,Delivered
R1667,Dallas,Detroit,Carrier A,1264,1.94,2452.16,18.34,Pending
R1668,Philadelphia,Atlanta,Carrier B,4986,1.72,8575.92,70.58,Pending
R1669,Seattle,Denver,Carrier A,2216,3.07,6803.12,24.46,Delivered
R1670,Houston,Seattle,Carrier C,4047,2.84,11493.48,60.54,Pending
R1671,Miami,Las Vegas,Carrier C,2393,1.97,4714.21,30.42,Delivered
R1672,Detroit,Boston,Carrier C,4348,3.27,14217.96,46.86,Pending
R1673,Philadelphia,Miami,Carrier A,704,2.16,1520.64,11.07,Delivered
R1674,Miami,Boston,Carrier C,2637,2.44,6434.28,27.89,Delivered
R1675,New York,Atlanta,Carrier A,1397,2.93,4093.21,18.47,Delivered
R1676,San Francisco,Phoenix,Carrier C,1197,2.49,2980.53,19.45,Pending
R1677,Seattle,Dallas,Carrier B,762,2.06,1569.72,10.63,In Transit
R1678,Miami,Miami,Carrier A,1650,3.15,5197.5,26.54,Pending
R1679,Chicago,Denver,Carrier A,4974,2.21,10992.54,51.48,Pending
R1680,Denver,Houston,Carrier C,505,1.58,797.9,6.61,In Transit
R1681,Houston,Houston,Carrier A,4975,2.42,12039.5,79.67,In Transit
R1682,Miami,Chicago,Carrier B,4294,2.1,9017.4,55.14,Pending
R1683,Houston,Houston,Carrier C,1625,3.32,5395.0,17.26,Pending
R1684,Phoenix,Houston,Carrier B,1797,2.45,4402.65,28.75,Pending
R1685,New York,Las Vegas,Carrier C,4233,1.9,8042.7,51.35,In Transit
R1686,Chicago,New York,Carrier B,770,3.24,2494.8,9.88,Pending
R1687,Denver,Seattle,Carrier B,3081,3.25,10013.25,31.09,Pending
R1688,Denver,Los Angeles,Carrier A,588,1.87,1099.56,6.6,Delivered
R1689,Detroit,Boston,Carrier C,1599,3.42,5468.58,19.66,Pending
R1690,Atlanta,Atlanta,Carrier A,1554,1.77,2750.58,21.16,Pending
R1691,Los Angeles,Detroit,Carrier A,1978,2.78,5498.84,32.89,In Transit
R1692,Dallas,Philadelphia,Carrier A,2904,3.05,8857.2,44.8,Pending
R1693,Dallas,Los Angeles,Carrier B,3977,3.08,12249.16,47.72,Delivered
R1694,Las Vegas,Miami,Carrier B,2332,2.78,6482.96,26.92,Pending
R1695,Las Vegas,Miami,Carrier B,3426,2.03,6954.78,51.98,Delivered
R1696,Boston,New York,Carrier B,3773,2.93,11054.89,44.55,Delivered
R1697,Atlanta,Chicago,Carrier C,621,1.97,1223.37,9.07,Pending
R1698,Dallas,Boston,Carrier B,2961,3.27,9682.47,47.82,Delivered
R1699,Phoenix,Detroit,Carrier B,4185,1.81,7574.85,56.82,Delivered
R1700,Las Vegas,San Francisco,Carrier B,1087,1.76,1913.12,13.13,Pending
R1701,Las Vegas,Dallas,Carrier C,2446,2.48,6066.08,26.7,Pending
R1702,Atlanta,Detroit,Carrier C,4808,3.26,15674.08,65.43,In Transit
R1703,San Francisco,San Francisco,Carrier A,1274,2.71,3452.54,15.07,In Transit
R1704,New York,New York,Carrier B,4231,2.32,9815.92,65.45,In Transit
R1705,Boston,Boston,Carrier A,2112,2.92,6167.04,31.44,Pending
R1706,Los Angeles,San Francisco,Carrier A,2594,1.68,4357.92,27.9,Pending
R1707,Dallas,Seattle,Carrier A,1837,1.83,3361.71,25.59,Delivered
R1708,Denver,Houston,Carrier B,1442,2.84,4095.28,16.86,Delivered
R1709,Miami,Miami,Carrier B,1987,2.39,4748.93,25.69,Pending
R1710,Boston,Dallas,Carrier C,667,2.99,1994.33,7.65,Pending
R1711,New York,Seattle,Carrier A,1171,2.85,3337.35,17.73,Delivered
R1712,Miami,Denver,Carrier B,1540,1.68,2587.2,21.91,Delivered
R1713,San Francisco,Boston,Carrier B,1905,2.2,4191.0,26.91,Delivered
R1714,Denver,Detroit,Carrier B,4389,2.56,11235.84,55.79,In Transit
R1715,Chicago,Detroit,Carrier B,3571,2.8,9998.8,36.37,In Transit
